,Team,Name,Age,Position,Nation,Market Value,Left / Joined Club,Left / Joined Country,Transfer Fee,In or Out,season
157,BK Häcken,Wenderson,19,Attacking Midfield,Brazil,0,Cruzeiro U20,Brazil,loan transfer,in,2011
158,BK Häcken,Robin Eriksson,20,Centre-Forward,Sweden,50000,H'veen/Emmen II,Netherlands,loan transfer,in,2011
159,BK Häcken,Simon Sandberg,18,Right-Back,Sweden,600000,Häcken U19,Sweden,0,in,2011
160,BK Häcken,Mathias Ranégie,27,Centre-Forward,Sweden,0,Malmö FF,Sweden,1500000,out,2011
161,BK Häcken,John Chibuike,22,Second Striker,Nigeria,200000,Rosenborg,Norway,1000000,out,2011
162,BK Häcken,Robin Jansson,19,Centre-Back,Sweden,750000,FC Trollhättan,Sweden,loan transfer,out,2011
163,BK Häcken,Jonatan Ask,20,Centre-Back,Sweden,0,Lindome GIF,Sweden,0,out,2011
164,Mjällby AIF,Pär Ericsson,22,Centre-Forward,Sweden,0,IFK Göteborg,Sweden,loan transfer,in,2011
165,Mjällby AIF,Erton Fejzullahu,23,Centre-Forward,Kosovo,300000,NEC Nijmegen,Netherlands,loan transfer,in,2011
166,Mjällby AIF,Adam Larsson,22,Centre-Back,Sweden,0,Keflavík,Iceland,"End of loanOct 1, 2011",in,2011
167,Mjällby AIF,Petr Gitselov,28,Right Winger,Russia,0,Fakel Voronezh,Russia,free transfer,out,2011
168,Mjällby AIF,Andreas Johansson,21,defence,Sweden,0,Kristianstad,Sweden,loan transfer,out,2011
169,Mjällby AIF,Mostapha El Kabir,22,Centre-Forward,Morocco,100000,Cagliari Calcio,Italy,loan transfer,out,2011
170,Mjällby AIF,Robin Strömberg,20,Centre-Forward,Sweden,200000,Thór,Iceland,loan transfer,out,2011
171,Mjällby AIF,Anders Wikström,29,Centre-Back,Sweden,0,Elfsborg,Sweden,"End of loanAug 1, 2011",out,2011
172,GIF Sundsvall,Pa Dibba,23,Centre-Forward,The Gambia,275000,Haninge/Brandb.,Sweden,0,in,2011
173,GIF Sundsvall,Kevin Walker,22,Defensive Midfield,Sweden,250000,AIK,Sweden,loan transfer,in,2011
174,GIF Sundsvall,Alieu Jagne,27,Left Midfield,The Gambia,0,Haukar,Iceland,free transfer,out,2011
175,GIF Sundsvall,Kristian Ek,22,Centre-Back,Sweden,0,AFC Eskilstuna,Sweden,free transfer,out,2011
176,IFK Norrköping,James Frempong,22,Right Midfield,Sweden,0,Gefle,Sweden,0,in,2011
177,IFK Norrköping,Nikola Tkalcic,21,Right-Back,Croatia,250000,NK Varazdin,Croatia,0,in,2011
178,IFK Norrköping,Riki Cakic,21,Centre-Forward,Sweden,0,Assyriska FF,Sweden,loan transfer,out,2011
179,IFK Norrköping,Joonas Tamm,19,Centre-Back,Estonia,500000,Sylvia,Sweden,loan transfer,out,2011
180,Kalmar FF,Pedro Henrique,25,Centre-Forward,Brazil,0,Volta Redonda,Brazil,free transfer,in,2011
181,Kalmar FF,Zlatan Azinovic,23,Goalkeeper,Sweden,0,Trelleborg,Sweden,loan transfer,out,2011
182,Kalmar FF,Daryl Smylie,25,Attacking Midfield,Northern Ireland,250000,Jönköping,Sweden,loan transfer,out,2011
183,Gefle IF,Johan Svantesson,20,Centre-Forward,Sweden,0,No club,No country,free transfer,in,2011
184,Gefle IF,Simon Lundevall,22,Left Midfield,Sweden,200000,Västerås SK,Sweden,0,in,2011
185,Gefle IF,James Frempong,22,Right Midfield,Sweden,0,Norrköping,Sweden,0,out,2011
186,Atvidabergs FF,Thomas Olsson,35,Central Midfield,Sweden,0,IFK Göteborg,Sweden,loan transfer,in,2011
187,Atvidabergs FF,Thomas Thudin,38,Goalkeeper,Sweden,0,No club,No country,0,in,2011
