,Team,Name,Age,Position,Nation,Market Value,Left / Joined Club,Left / Joined Country,Transfer Fee,In or Out,season
86,Rosenborg BK,Borek Dockal,22,Attacking Midfield,Czech Republic,1200000,Slovan Liberec,Czech Republic,1000000,in,2011
87,Rosenborg BK,John Chibuike,22,Second Striker,Nigeria,200000,Häcken,Sweden,1000000,in,2011
88,Rosenborg BK,Mohammed-Awal Issah,25,Defensive Midfield,Ghana,50000,Red Star,Serbia,770000,in,2011
89,Rosenborg BK,Per Verner Rönning,28,Centre-Back,Norway,0,Bodø/Glimt,Norway,free transfer,in,2011
90,Rosenborg BK,Jaime Alás,22,Left Midfield,El Salvador,150000,L.A. Firpo,El Salvador,0,in,2011
91,Rosenborg BK,Fredrik Midtsjö,17,Central Midfield,Norway,10000000,Rosenborg BK Yo,Norway,0,in,2011
92,Rosenborg BK,Tom Erik Nordberg,26,Centre-Back,Norway,0,Haugesund,Norway,"End of loanAug 1, 2011",in,2011
93,Rosenborg BK,Simen Wangberg,20,Centre-Back,Norway,200000,Ranheim IL,Norway,"End of loanJun 30, 2011",in,2011
94,Rosenborg BK,Pal André Helland,21,Right Winger,Norway,500000,Ranheim IL,Norway,"End of loanJun 30, 2011",in,2011
95,Rosenborg BK,Per Ciljan Skjelbred,24,Central Midfield,Norway,800000,Hamburger SV,Germany,500000,out,2011
96,Rosenborg BK,Trond Olsen,27,Left Winger,Norway,0,Viking FK,Norway,0,out,2011
97,Rosenborg BK,Tom Erik Nordberg,26,Centre-Back,Norway,0,Bodø/Glimt,Norway,0,out,2011
98,Rosenborg BK,Gjermund Asen,20,Central Midfield,Norway,400000,Ranheim IL,Norway,0,out,2011
99,Rosenborg BK,Pal André Helland,21,Right Winger,Norway,500000,Byasen,Norway,0,out,2011
100,Rosenborg BK,Michael Jamtfall,25,Right Winger,Norway,0,No club,No country,0,out,2011
101,Rosenborg BK,Mattias Bjärsmyr,25,Centre-Back,Sweden,200000,Panathinaikos,Greece,"End of loanJun 30, 2011",out,2011
102,Viking Stavanger,Trond Olsen,27,Left Winger,Norway,0,Rosenborg,Norway,0,in,2011
103,Viking Stavanger,Eirik Schulze,18,Central Midfield,Norway,400000,Mandalskam. U19,Norway,0,in,2011
104,Viking Stavanger,Jon Helge Tveita,18,Right-Back,Norway,300000,Stavanger IF,Norway,0,in,2011
105,Lillestrøm SK,Effiom Otu-Bassey,19,Central Midfield,Nigeria,50000,No club,No country,0,in,2011
106,Lillestrøm SK,Nicolás Mezquida,19,Attacking Midfield,Uruguay,500000,Peñarol,Uruguay,loan transfer,in,2011
107,Lillestrøm SK,Henrik Kjelsrud Johansen,18,Centre-Forward,Norway,250000,Raufoss,Norway,loan transfer,in,2011
108,Lillestrøm SK,Paul Obiefule,25,Central Midfield,Nigeria,0,Hönefoss,Norway,loan transfer,in,2011
109,Lillestrøm SK,Kristoffer Tokstad,20,Right Winger,Norway,300000,Strømmen IF,Norway,"End of loanAug 1, 2011",in,2011
